Time	,	Pressure (bar)	,
16:46:36.4832	,		0.402027
16:46:36.5016	,		0.402001
16:46:36.5281	,		0.401976
16:46:36.5431	,		0.402027
16:46:36.5630	,		0.402027
16:46:36.5820	,		0.401976
16:46:36.6019	,		0.401976
16:46:36.6219	,		0.401899
16:46:36.6435	,		0.401899
16:46:36.6623	,		0.402027
16:46:36.6823	,		0.402001
16:46:36.7022	,		0.401976
16:46:36.7223	,		0.401976
16:46:36.7431	,		0.402027
16:46:36.7631	,		0.402027
16:46:36.7820	,		0.401950
16:46:36.8019	,		0.401950
16:46:36.8229	,		0.401976
16:46:36.8429	,		0.402027
16:46:36.8708	,		0.402052
16:46:36.8919	,		0.401976
16:46:36.9030	,		0.401925
16:46:36.9218	,		0.402078
16:46:36.9419	,		0.401976
16:46:36.9629	,		0.402027
16:46:36.9818	,		0.401950
16:46:37.0028	,		0.401925
16:46:37.0227	,		0.402001
16:46:37.0423	,		0.402027
16:46:37.0632	,		0.402027
16:46:37.0831	,		0.402052
16:46:37.1020	,		0.401925
16:46:37.1220	,		0.402052
16:46:37.1420	,		0.401950
16:46:37.1619	,		0.402052
16:46:37.1819	,		0.402001
16:46:37.2028	,		0.402052
16:46:37.2228	,		0.401976
16:46:37.2433	,		0.402027
16:46:37.2618	,		0.401976
16:46:37.2828	,		0.401925
16:46:37.3018	,		0.402001
16:46:37.3217	,		0.402027
16:46:37.3427	,		0.401950
16:46:37.3626	,		0.402001
16:46:37.3826	,		0.402001
16:46:37.4017	,		0.402001
16:46:37.4216	,		0.401976
16:46:37.4427	,		0.401976
16:46:37.4626	,		0.401950
16:46:37.4836	,		0.402052
16:46:37.5025	,		0.402001
16:46:37.5296	,		0.402027
16:46:37.5436	,		0.401976
16:46:37.5636	,		0.402027
16:46:37.5835	,		0.401976
16:46:37.6035	,		0.402027
16:46:37.6219	,		0.402027
16:46:37.6494	,		0.402027
16:46:37.6620	,		0.402001
16:46:37.6830	,		0.401950
16:46:37.7030	,		0.402001
16:46:37.7235	,		0.402001
16:46:37.7431	,		0.401925
16:46:37.7635	,		0.401925
16:46:37.7834	,		0.401950
16:46:37.8023	,		0.402001
16:46:37.8234	,		0.402027
16:46:37.8425	,		0.402027
16:46:37.8627	,		0.402027
16:46:37.8819	,		0.401976
16:46:37.9018	,		0.401976
16:46:37.9229	,		0.402027
